mortality,sample_number,year,month,date,stage,state,latitude,longitude,crop,beekeeper,group,population,sample_ID,Group-Population ID,Acibenzolar-S-Methyl,Azoxystrobin,Benzovindiflupyr,Boscalid,Carbendazim,Cyflufenamid,Cyprodinil,Difenoconazole,Diphenylamine,Fenbuconazole,Fludioxonil,Fluopyram,Flutriafol,Fluxapyroxad,Myclobutanil,Penthiopyrad,Propiconazole,Pyraclostrobin,Pyrimethanil,Tebuconazole,Thiophanate methyl,Trifloxystrobin,Triflumizole,Atrazine,Diuron,Norflurazon,Pendimethalin,S-Metolachlor,Trifluralin,Acetamiprid,Bifenthrin,Buprofezin,Carbaryl,Chlorantraniliprole,Chlorpyrifos,Coumaphos,Diazinon,Diflubenzuron,Dimethoate,Flonicamid,Hexythiazox,Methoxyfenozide,Imidacloprid,Propargite,Pyriproxyfen,Spinetoram A,Spiromesifen,Sulfoxaflor,tau Fluvalinate
Alive,1,2022,2,20220217,1,CA,37.476875,-120.630784,almond,B1,A,S,001,A-S,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,2,2022,2,20220217,1,CA,37.476875,-120.630784,almond,B1,A,L,007,A-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,0.012,,,,,,,
Alive,3,2022,2,20220217,1,CA,37.552523,-120.540489,almond,B1,B,S,005,B-S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,
Alive,4,2022,2,20220217,1,CA,37.552523,-120.540489,almond,B1,B,L,004,B-L,,,,,,,,,,,,,,,,,,,0.122,0.065,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,
Alive,5,2022,2,20220218,1,CA,36.764216,-119.934089,almond,wsu,D,S,006,D-S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,
Alive,6,2022,2,20220218,1,CA,36.764216,-119.934089,almond,wsu,D,L,009,D-L,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,
Alive,7,2022,2,20220216,1,CA,36.283721,-119.331352,almond,B2,E,S,003,E-S,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,0.021,,,,,0.038,,,,,,,,,,,,,,,,,
Alive,8,2022,2,20220216,1,CA,36.283721,-119.331352,almond,B2,E,L,008,E-L,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,0.024,,,,,0.085,,,,,,,,,,,,,,,,,
Alive,9,2022,2,20220216,1,CA,36.283721,-119.331352,almond,B2,F,S,013,F-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,,,0.013,,,,,,,,,,,,,
Alive,10,2022,2,20220216,1,CA,36.283721,-119.331352,almond,B2,F,L,011,F-L,,,,,,,,,,,,,,,0.026,,,,,,0.115,,,,,,0.028,,,,,0.112,,,,,,,,,,,,,,,,,
Alive,11,2022,2,20220218,1,CA,36.764216,-119.934089,almond,wsu,G,S,010,G-S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,
Alive,12,2022,2,20220218,1,CA,36.764216,-119.934089,almond,wsu,G,L,002,G-L,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,
Dead,13,2022,4,20220407,2,WA,46.533047,-122.517063,blueberry,B1,A,D,017,A-D,,,,,,,0.335,,,,,,,0.053,,,,0.041,,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead,14,2022,4,20220407,2,WA,46.667277,-120.589848,apple,B1,B,D,015,B-D,,,,,,,0.255,,,,,,,0.015,,,,,,0.24,,,,,,,0.041,,,,,,,,,,,,,,,,,,,,,,
Dead,15,2022,5,20220504,2,WA,46.667277,-120.589848,apple,B1,B,D,028,B-D,,,,,,,0.409,,,,,,,,,,,,,0.364,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,
dead,16,2022,5,20220510,2,WA,46.697802,-120.570276,apple,wsu,D,D,029,D-D,,,,,,,0.284,,,,,0.116,,,,,0.045,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
dead,17,2022,5,20220511,2,WA,46.697802,-120.570276,apple,wsu,G,D,019,G-D,,0.058,,,,,0.304,,,,,0.513,,,,,0.196,,,0.431,,0.028,,,,,0.027,,,,,1.2,,,,,,,,,,,,,,,,,
Alive,18,2022,5,20220519,2,WA,46.533047,-122.517063,blueberry,B1,A,S,016,A-S,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
Alive,19,2022,5,20220519,2,WA,46.533047,-122.517063,blueberry,B1,A,L,021,A-L,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,20,2022,5,20220504,2,WA,46.667277,-120.589848,apple,B1,B,S,022,B-S,,,,,,,0.062,,,,,0.02,,,0.012,0.012,,,,0.038,,0.015,0.058,,,,0.017,,,,,0.011,,,,,0.03,,,,,,,,,,,,
Alive,21,2022,5,20220504,2,WA,46.667277,-120.589848,apple,B1,B,L,018,B-L,,,,,,,,,,,,,,,,0.04,,,,,,0.02,0.08,,,,,,,0.011,,,,,,,0.04,,,,,,,,0.022,0.085,,,
Alive,22,2022,5,20220510,2,WA,46.697802,-120.570276,apple,wsu,D,S,023,D-S,,,,,,,,,,,,0.021,0.068,,,0.096,0.206,,,,,0.012,0.141,,,0.04,0.028,,,0.02,,11.5,0.0099,,,,0.036,,,,,,,,0.022,,,,
Alive,23,2022,5,20220510,2,WA,46.697802,-120.570276,apple,wsu,D,L,027,D-L,,,,0.018,,,,,,,,0.027,0.042,,,0.012,0.138,,,,,0.018,0.083,,,0.027,0.026,,,0.01,,9.73,0.015,,,,0.035,,,,,,,,0.019,0.029,,,
Alive,24,2022,4,20220428,2,WA,47.279798,-119.597746,apple-cherry,B2,E,S,025,E-S,,,,,,,,,,,,,0.066,,,,,,,,,,,,,,0.022,,,,,0.037,,,,,,0.012,,,,,,,,,,,
Alive,25,2022,4,20220428,2,WA,47.279798,-119.597746,apple-cherry,B2,E,L,026,E-L,,,,,,,,,,,,,0.084,,,,,,,,,,,,,,0.024,,,,,0.023,,,,,,,,,,,,,,,,,
Alive,26,2022,4,20220428,2,WA,47.279798,-119.597746,apple-cherry,B2,F,S,012,F-S,,,,,,,,,,,,,0.017,0.013,,0.059,,,,,0.109,,,,,,0.028,,,,,0.044,,,,,,,,,,,,,,,,,
Alive,27,2022,4,20220428,2,WA,47.279798,-119.597746,apple-cherry,B2,F,L,014,F-L,,,,,,,,,,,,,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,28,2022,5,20220511,2,WA,46.697802,-120.570276,apple,wsu,G,S,024,G-S,,,,,,,0.113,,,,,0.155,0.044,,0.017,0.021,0.13,,,0.118,,0.012,0.051,,,0.04,0.024,,,0.016,,5.79,,,,,0.027,,,,,,,,0.013,0.027,,,
Alive,29,2022,5,20220511,2,WA,46.697802,-120.570276,apple,wsu,G,L,020,G-L,,,,0.048,,,,,,,,0.053,0.051,,0.029,,0.162,,,0.038,,0.014,0.145,,,0.052,0.024,,,0.029,,9.29,,,,,0.035,,,,,,,,,0.063,,,
dead,30,2022,6,20220623,3,WA,47.161312,-119.768857,onion,B1,B,D,035,B-D,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,0.019,,,,,,,,,,,,,,,,
dead,31,2022,7,20220707,3,WA,46.342366,-119.240598,carrot,wsu,D,D,037,D-D,,0.025,,,,,0.092,,,,,0.136,,,,,0.036,,,0.099,,,,0.023,,,0.026,,,,,0.025,0.031,0.027,0.045,,,,,,,,,,,,,,
Alive,32,2022,6,20220630,3,WA,47.653996,-119.23495,canola,B1,A,S,032,A-S,,,,0.238,,,,,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,33,2022,6,20220630,3,WA,47.653996,-119.23495,canola,B1,A,L,033,A-L,,,,0.181,,,0.063,,,,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,34,2022,6,20220623,3,WA,47.161312,-119.768857,onion,B1,B,S,036,B-S,,,,0.035,,,,,,,,0.012,,,,,,,,,,,,,,,0.043,0.024,,,,,,,,,0.016,,,,,,,,,,,,
Alive,35,2022,6,20220623,3,WA,47.161312,-119.768857,onion,B1,B,L,038,B-L,,,,0.046,,,,,,,,,,,,,0.02,0.04,,,,,,0.023,,,0.027,,,,,,,,,,,,,,,,,,,,,,
Alive,36,2022,7,20220707,3,WA,46.342366,-119.240598,carrot,wsu,D,S,041,D-S,,0.057,,0.012,,,,,,,,0.014,,,0.011,,0.02,,,,,0.0092,,0.025,,0.0097,0.018,0.011,,0.0087,,0.707,0.058,,0.041,,,,,,0.014,,,,,,,,
Alive,37,2022,7,20220707,3,WA,46.342366,-119.240598,carrot,wsu,D,L,039,D-L,,0.043,,,,,,,,,,0.026,,,,,0.021,,,0.0097,,0.0089,,0.024,,,0.019,0.012,,,,0.067,0.108,,0.047,,,,,,,,,,,,,,
Alive,38,2022,6,20220617,3,WA,46.70276,-117.467618,honey,wsu,G,S,034,G-S,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,,,0.014,,,,,,,,,,
Alive,39,2022,6,20220617,3,WA,46.70276,-117.467618,honey,wsu,G,L,040,G-L,,0.02,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,0.079,,,,,,,,,,,,,,,,,
dead,40,2022,9,20220916,4,WA,47.162613,-119.55513,buckwheat,B1,A,D,050,A-D,,,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,,,,,,,,,,,,
dead,41,2022,9,20220909,4,WA,47.162613,-119.55513,buckwheat,B1,B,D,047,B-D,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dead,42,2022,9,20220902,4,WA,47.162613,-119.55513,alfalfa,wsu,D,D,044,D-D,,0.08,,0.054,,,,,,,,,,,,,0.059,0.031,,,0.17,,,,,,,,,,,3.02,0.019,0.038,,,,,,,,,,,,,,,
dead,43,2022,8,20220819,4,WA,46.70276,-117.467618,honey,wsu,G,D,052,G-D,,0.015,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,44,2022,9,20220916,4,WA,47.162613,-119.55513,buckwheat,B1,A,S,048,A-S,,,,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
Alive,45,2022,9,20220916,4,WA,47.162613,-119.55513,buckwheat,B1,A,L,049,A-L,,,,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,,
Alive,46,2022,9,20220909,4,WA,47.162613,-119.55513,buckwheat,B1,B,S,045,B-S,,,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,47,2022,9,20220909,4,WA,47.162613,-119.55513,buckwheat,B1,B,L,046,B-L,,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,
Alive,48,2022,9,20220902,4,WA,46.799556,-119.048189,alfalfa,wsu,D,S,043,D-S,,0.044,,0.199,,,,,,,,,,,,,,0.043,,,0.14,,,,,,,,0.023,,,,,0.048,,,,,,,,,,,,,,,
Alive,49,2022,9,20220902,4,WA,46.799556,-119.048189,alfalfa,wsu,D,L,042,D-L,,0.041,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,
Alive,50,2022,9,20220923,4,WA,47.369201,-119.463739,alfalfa,B2,E,S,055,E-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,51,2022,9,20220923,4,WA,47.369201,-119.463739,alfalfa,B2,E,L,054,E-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,52,2022,9,20220923,4,WA,47.369201,-119.463739,alfalfa,B2,F,S,056,F-S,,,,,,,0.059,,,,0.065,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,53,2022,9,20220923,4,WA,47.369201,-119.463739,alfalfa,B2,F,L,057,F-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,54,2022,8,20220819,4,WA,46.70276,-117.467618,honey,wsu,G,S,051,G-S,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,55,2022,8,20220819,4,WA,46.70276,-117.467618,honey,wsu,G,L,053,G-L,,0.015,,,,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,56,2023,2,20230222,1,CA,37.149447,-120.492002,almond,B3,C,S,101,C-S,,0.014,,0.03,,,1.05,0.019,0.15,,,0.1,,,,,,,,,0.226,0.087,,,,,0.062,,,,,,,,,,,,,,,,,,,,,,
Alive,57,2023,2,20230222,1,CA,37.149447,-120.492002,almond,B3,C,L,102,C-L,,,,0.05,,,0.884,0.016,0.124,,,0.046,,,,,,,,,0.222,0.042,,,0.092,,0.067,,,,,,,,,,,,,,,,0.023,,,,,,
Alive,58,2023,2,20230222,1,CA,37.185808,-120.337949,almond,B3,H,S,104,H-S,,,,,,,,,0.264,,,,,,,,,,,,0.21,,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,
Alive,59,2023,2,20230222,1,CA,37.185808,-120.337949,almond,B3,H,L,103,H-L,,,,,,,,,0.233,,,,,,,,,,,,,,,,,,0.027,,,,,,,0.095,,,,,,,,,,,,,,,
Alive,60,2023,2,20230221,1,CA,37.552523,-120.540489,almond,B1,K,S,105,K-S,,,,,,,0.088,,0.105,,,,,0.422,,,,,0.083,0.715,0.228,0.807,,,,,0.044,0.034,,,,,,,,,,,,,,,,,,,,,
Alive,61,2023,2,20230221,1,CA,37.552523,-120.540489,almond,B1,K,L,106,K-L,,,,,,,0.139,,0.121,,,,,,,,0.108,,0.647,0.396,0.219,0.442,,,,,0.066,,,,,,,,,,,,,,,,,,,,,,
Alive,62,2023,2,20230223,1,CA,37.750312,-121.17884,almond,B4,M,S,111,M-S,,0.024,,,,,0.253,,0.079,,,0.069,,,,,0.042,,0.842,0.076,0.227,0.131,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
Alive,63,2023,2,20230223,1,CA,37.750312,-121.17884,almond,B4,M,L,112,M-L,,0.02,,,,,0.181,,0.092,,,0.102,,,,,0.059,,1.09,,0.222,0.088,,,,,0.048,,,,,,,,,,,,,,,,,,,,,,
Alive,64,2023,2,20230221,1,CA,37.468535,-120.630859,almond,B1,N,S,107,N-S,,,,,,,,0.069,0.156,,,,2.24,,,,,1.66,0.12,0.201,0.235,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,65,2023,2,20230221,1,CA,37.468535,-120.630859,almond,B1,N, L,108,N- L,,,,,,,,0.048,0.127,,,,2.19,,,,,1.6,0.084,0.198,0.221,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,66,2023,2,20230223,1,CA,37.724872,-121.233687,almond,B4,P,S,109,P-S,,,,,,,,,0.164,,,,,,,,,,,0.364,1.63,,,,,,0.094,,,,,,,,,,,,,,,,,,,,,,
Alive,67,2023,2,20230223,1,CA,37.724872,-121.233687,almond,B4,P,L,110,P-L,,,,,0.021,,,,0.128,,,0.018,,,,,,,,1.23,2.25,0.017,,,,,0.106,,,,,,,,,,,,,,,,,,,,,,
Dead,68,2023,5,20230512,2,WA,46.591629,-120.382852,apple,B1,N,D,115,N-D,,,,,,,,,,,,0.184,0.04,,,,,,,,,0.147,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,
Alive,69,2023,5,20230505,2,WA,46.927769,-119.472529,cherry,B3,H,S,122,H-S,0.086,,,,,0.022,,,,,,0.424,0.067,,0.076,,,0.057,,,,0.346,,,,,0.034,,,,,0.063,,,,,0.103,,,,,,,,,,,,
Alive,70,2023,5,20230505,2,WA,46.927769,-119.472529,cherry,B3,H,L,123,H-L,0.086,,,,,0.025,,,,,,0.642,0.093,,0.123,,,0.069,,,,0.484,,,,,0.03,,,,,0.037,,,,,0.128,,,,,,,,,,,,
Alive,71,2023,5,20230518,2,WA,46.679279,-119.81108,cherry,B1,K,S,116,K-S,,,,,,,,,,,,0.088,0.028,,,,,,,,,0.049,,,,,0.026,,,,,0.081,0.286,0.101,,,,,,,,,,,,0.138,,0.042,
Alive,72,2023,5,20230518,2,WA,46.679279,-119.81108,cherry,B1,K,L,117,K-L,0.108,,,0.058,,,,,,,,0.081,0.027,,,,,0.029,,,,0.053,,,,,,,,,,0.075,0.173,,,,,,,,,,,,,0.245,,0.032,
Alive,73,2023,5,20230509,2,WA,46.96304,-119.557664,apple-cherry,B4,M,S,118,M-S,,,,,,0.041,,,,,,0.084,0.119,,0.187,,,0.073,,,,0.06,,,,,0.053,,,,,0.599,,,,,,,,,,,,,,,,0.019,
Alive,74,2023,5,20230509,2,WA,46.96304,-119.557664,apple-cherry,B4,M,L,119,M-L,0.09,,,,,0.051,,,,,,0.127,0.153,,0.203,,,0.098,,,,0.084,,,,,0.051,,,,,0.945,,,,,0.019,,,,,,,,0.041,,,0.029,
Alive,75,2023,5,20230512,2,WA,46.591629,-120.382852,apple,B1,N,S,113,N-S,,,,,,,,,,,,0.076,0.053,,,,,0.039,,,,0.057,,,,,0.038,,,,,0.064,,0.103,,,0.034,,,,,,,,,,,,
Alive,76,2023,5,20230512,2,WA,46.591629,-120.382852,apple,B1,N,L,114,N-L,,,,,,,,,,,,0.098,0.033,,,,,,,,,0.072,,,,,0.029,,,,,0.187,0.137,,,,0.045,,,,,,,,,0.18,,,
Alive,77,2023,5,20230516,2,WA,46.96304,-119.557664,apple-cherry,B4,P,S,120,P-S,0.048,,,,,0.054,,,,,,0.109,0.031,,0.198,,,,,,,0.085,,,,,0.038,,,,,0.53,0.169,,,,0.039,,,,,,,,,,,,
Alive,78,2023,5,20230516,2,WA,46.96304,-119.557664,apple-cherry,B4,P,L,121,P-L,,,,0.032,,0.055,,,,,,0.086,0.049,,0.159,,,0.038,,,,0.057,,,,,0.045,,,,,1.66,0.059,,,,0.035,,,,,,,,,0.39,,,
Alive,79,2023,6,20230614,3,WA,47.028631,-119.237155,canola,B3,H,S,132,H-S,,0.018,,,,,,,,,,0.062,0.025,,0.026,,,,,,,0.051,,,,,0.026,,,,,0.018,0.02,,,,0.04,,,,,,,,,,,,
Alive,80,2023,6,20230614,3,WA,47.028631,-119.237155,canola,B3,H,L,133,H-L,,,,,,,,,,,,0.062,0.017,,,,,,,,,0.049,,,,,,,,,,0.155,,,,,,,,,,,,,,,,,
Alive,81,2023,6,20230623,3,WA,47.233702,-119.254483,canola,B1,K,S,126,K-S,,,,,,,,,,,,0.047,0.019,,,,,,,,,0.032,,,,0.13,0.093,,,,,0.079,0.091,0.136,,,,,,,,0.016,,,,,,,
Alive,82,2023,6,20230623,3,WA,47.233702,-119.254483,canola,B1,K,L,127,K-L,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,0.254,,,,,0.022,0.033,,,,,,,,,,,,,,,,
Alive,83,2023,7,20230705,3,WA,48.004035,-117.523442,honey,B4,M,S,128,M-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
Alive,84,2023,7,20230705,3,WA,48.004035,-117.523442,honey,B4,M,L,129,M-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,85,2023,6,20230627,3,WA,47.161309,-119.789985,onion,B1,N,S,124,N-S,,0.777,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.664,,,,,,,,,,,,,,,
Alive,86,2023,6,20230627,3,WA,47.161309,-119.789985,onion,B1,N,L,125,N-L,,0.729,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,,,,,,,,,,,,,,,
Alive,87,2023,7,20230712,3,WA,48.006911,-117.349705,honey,B4,P,S,130,P-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,
Alive,88,2023,7,20230712,3,WA,48.006911,-117.349705,honey,B4,P,L,131,P-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,
Dead,89,2023,8,20230823,4,WA,46.941814,-120.369172,sunflower,B1,K,D,136,K-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,,,,,,,,,,
Alive,90,2023,8,20230801,4,WA,48.217664,-116.71484,honey,B3,C,S,143,C-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,
Alive,91,2023,8,20230801,4,WA,48.217664,-116.71484,honey,B3,C,L,144,C-L,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,
Alive,92,2023,10,20231011,4,WA,48.54,-117.220861,honey,B3,H,S,145,H-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,93,2023,10,20231011,4,WA,48.54,-117.220861,honey,B3,H,L,146,H-L,,,,,,,,,,,,,,,,,,,,,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,94,2023,8,20230823,4,WA,46.941814,-120.369172,sunflower,B1,K,S,134,K-S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,
Alive,95,2023,8,20230823,4,WA,46.941814,-120.369172,sunflower,B1,K,L,135,K-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,
Alive,96,2023,8,20230831,4,WA,48.004035,-117.523442,honey,B4,M,S,139,M-S,,,,,,,,,,,,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,97,2023,8,20230831,4,WA,48.004035,-117.523442,honey,B4,M,L,140,M-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,98,2023,8,20230818,4,WA,47.233702,-119.254483,honey,B1,N,S,137,N-S,,0.191,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.2,,,,,,,,,,,,,,,
Alive,99,2023,8,20230818,4,WA,47.233702,-119.254483,honey,B1,N,L,138,N-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,,
Alive,100,2023,8,20230810,4,WA,48.006911,-117.349705,honey,B4,P,S,141,P-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,101,2023,8,20230810,4,WA,48.006911,-117.349705,honey,B4,P,L,142,P-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,,,,,,,,,,,,,,,,,
